Model_name,Price,Manufacturer,Condition,Type,Distance,Color,Body_type,Fuel_type,Engine_cc
بي ام دبليو X3 2015,"1,150,000 ج.م.",بي ام دبليو,مستعملة,أوتوماتيك,"510,000 كم",Silver,SUV,Gas,2000.0
فولكس فاجن تيجوان 2024,"2,180,000 ج.م.",فولكس فاجن,مستعملة,أوتوماتيك,"21,000 كم",Dark Grey,SUV,Gas,1400.0
بورش كايين كوبيه 2022,"2,000,000 ج.م.",بورش,مستعملة,أوتوماتيك,"5,800 كم",Gray,Coupe,Gas,4000.0
رينو كادجار 2020,"850,000 ج.م.",رينو,مستعملة,أوتوماتيك,"140,000 كم",Green,SUV,Gas,1200.0
ستروين C4 جراند بيكاسو 2016,"950,000 ج.م.",ستروين,مستعملة,أوتوماتيك,"151,000 كم",Gray,SUV,Gas,1600.0
تويوتا كورولا 2010,"535,000 ج.م.",تويوتا,مستعملة,أوتوماتيك,"235,000 كم",Gray,Sedan,Gas,1600.0
إم جي 5 2026,"900,000 ج.م.",إم جي,جديدة,أوتوماتيك,,White,Sedan,Gas,1500.0
كيا سبورتاج 2026,"1,965,000 ج.م.",كيا,جديدة,أوتوماتيك,,White,SUV,Gas,1600.0
إم جي 7 2026,"1,560,000 ج.م.",إم جي,مستعملة,أوتوماتيك,"4,500 كم",Green,Sedan,Gas,1600.0
شيفروليه اوبترا 2026,"715,000 ج.م.",شيفروليه,جديدة,أوتوماتيك,,Silver,Sedan,Gas,1500.0
شيفروليه اوبترا 2026,"740,000 ج.م.",شيفروليه,جديدة,أوتوماتيك,,Silver,Sedan,Gas,1500.0
كيا سورينتو 2023,"2,550,000 ج.م.",كيا,مستعملة,أوتوماتيك,"16,500 كم",White,SUV,Hybrid,1600.0
كايي X3 Pro 2026,"860,000 ج.م.",كايي,جديدة,أوتوماتيك,,Gray,SUV,Gas,1500.0
شيفروليه كروز 2010,"390,000 ج.م.",شيفروليه,مستعملة,أوتوماتيك,"206,000 كم",Silver,Sedan,Gas,1500.0
إم جي HS 2026,"1,575,000 ج.م.",إم جي,جديدة,أوتوماتيك,,Red,SUV,Hybrid,1500.0
مازدا 3 2014,"535,000 ج.م.",مازدا,مستعملة,أوتوماتيك,"253,000 كم",Black,Sedan,Gas,1600.0
إم جي HS 2026,"1,450,000 ج.م.",إم جي,جديدة,أوتوماتيك,,Red,SUV,Gas,1500.0
